Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Albert Almora Jr.,31,MLB,MIA,477,,,,,477
Max Martin,21,A+,KCR,478,,,,,478
Aidan Foeller,23,A+,LAD,478.8,403,445,377,597,572
Cameron Foster,26,AAA,BAL,479,,256,,,702
Wilkin Ramos,24,AAA,SFG,479.1666666666667,,85.5,,691,661
Raul Brito,28,AAA,MIN,480.25,,573.5,,,387
Cole Miller,20,A,ATH,480.4,175,547,466,315,899
Brett Sears,25,AAA,ATL,480.6,699,698,123,166,717
Ty Madden,24,MLB,DET,481,,848,,,114
Luis F. Castillo,30,MLB,BAL,482,,,,,482
Adisyn Coffey,26,AAA,CHW,483,,399,,,567
Moises Chace,22,AA,PHI,483.5,,503.5,,723,224
Dalton Pence,22,A+,TEX,485.875,924,162.5,,210,647
Najer Victor,23,A+,LAA,487,,273,,651,537
Christian Roa,26,MLB,MIA,487,,559,,,415
Zak Kent,27,MLB,ARI,487.25,,503.5,,,471
Rainer Nunez,24,AAA,TOR,488,,,,,488
Gary Gill Hill,20,A+,TBR,489.1,529,1355.5,35,143,383
Tanner Smith,22,A+,BAL,490.6666666666667,,,688,320,464
Marcus Johnson,24,A+,TBR,491.6,687,1059,270,102,340
Jayvien Sandridge,26,MLB,NYY,493.6666666666667,,269,,769,443
Cory Ronan,23,A+,KCR,495,,,,,495
Tyler Uberstine,26,AAA,BOS,496.9,642,924.5,472,306,140
Lucas Gordon,23,AA,CHW,497.2,617,482,113,159,1115
Tink Hence,22,AA,STL,498.625,,474.5,882,469,169
Eddy Felix,21,CPX,DET,499,,,,,499
Andrew Alvarez,26,MLB,WSN,499,367,861,441,523,303
Manuel Castro,23,AAA,SDP,502.3333333333333,,206,,902,399
Ryan Birchard,21,A+,MIL,502.8,229,1037,97,503,648
